,Prunus domestica,Prunus spinosa,Prunus cerasus,Prunus avium,Prunus padus,Prunus laurocerasus
Abraxas grossulariata,1,1,0,0,0,0
Acronicta psi,1,1,0,0,0,0
Acronicta strigosa,0,1,0,0,0,0
Agriopis aurantiaria,0,1,0,0,0,0
Allophyes oxycanthae,0,1,1,0,0,0
Angerona prunaria,1,1,0,0,0,0
Apocheima pilosaria,0,1,0,0,0,0
Aporia crataegi,1,1,0,0,0,0
Bison  betularia,1,0,0,0,0,0
Blepharita satura,0,1,0,0,0,0
Chloroclysta siterata,0,1,0,0,0,0
Chloroclystis chloerata,0,1,0,0,0,0
Chloroclystis rectangulata,0,1,1,1,0,0
Colocasia coryli,0,1,0,0,0,0
Colotois pennaria,0,1,0,0,0,0
Crocallis elinguaria,0,1,0,0,0,0
Dasychira fascelina,1,0,0,0,0,0
Diloba caeruleocephala,1,1,0,0,0,1
Electrophaes corylata,0,1,0,0,0,0
Epirrita christyi,0,1,0,0,0,0
Erannis defoliaria,0,1,0,0,0,0
Eriogaster lanestris ,0,1,0,0,0,0
Eupithecia exiguata,0,1,0,0,0,0
Eupsilia transversa,0,1,0,0,0,0
Eurois occulata,0,1,0,0,0,0
Lasiocampa quercus,0,1,0,0,0,0
Lithophane socia,1,0,0,0,0,0
Lomographa bimaculata,0,0,0,1,0,0
Lomographa temerata,1,1,0,0,1,0
Naenia typica,1,1,0,0,0,0
Nola cucullatella,1,1,0,0,0,0
Odontopera bidentata,1,1,0,0,0,0
Operophtera brumata,0,1,0,0,0,0
Opisthograptis luteolata,0,1,0,0,0,0
Orthosia gothica,0,1,0,0,0,0
Orthosia gracilis,0,1,0,0,0,0
Plagodis pulveraria,0,0,1,0,0,0
Plemyria rubiginata,0,1,0,0,0,0
Selenia dentaria,0,1,0,0,0,0
Selenia lunalaria,1,1,0,0,0,0
Selenia tetralunaria,0,0,0,1,0,0
Smerinthus ocellata,0,1,0,0,0,0
Strymonidia pruni,1,1,0,0,0,0
Thecla betulae,1,1,0,0,0,0
Trichiura crataegi,0,1,0,0,0,0
Triphosa dubitata,0,0,0,0,1,0
Acronicta aceris,1,0,0,0,0,0
Acronicta tridens,1,1,0,0,0,0
Agriopsis marginaria,0,1,0,0,0,0
Agrochola lota,0,1,0,0,0,0
Aleucis distincata,0,1,0,0,0,0
Alsophila aescularia,0,0,0,1,0,0
Amphipyra pyramidea,1,0,0,0,0,0
Brachionycha sphinx,0,1,0,0,0,0
Callimorpha dominula,1,1,0,0,0,0
Campaea margaritata,0,1,0,0,0,0
Catocala nupta,1,0,0,0,0,0
Cilix glaucata,0,1,0,0,0,0
Conistra ligula,1,1,0,0,0,0
Cosmia pyralina,1,1,0,0,0,0
Dasycampa rubiginea,1,1,0,0,0,0
Diarsia mendica,0,1,0,0,0,0
Egira conspicillaris,0,1,0,0,0,0
Ennomos autumnaria,1,1,0,0,0,0
Epirrita dilutata,1,1,0,0,0,0
Euproctis chrysorrhoea,0,1,0,0,0,0
Gastropacha quercifolia,0,1,0,0,0,0
Graphiphora augur,0,1,0,0,0,0
Hydrelia sylvata,0,1,0,0,0,0
Lasiocampa trifolii,1,0,0,0,0,0
Lithophane semibrunnea,1,0,0,0,0,0
Malacosoma neustria,0,1,0,0,0,0
Nola confusalis,0,1,0,0,0,0
Nymphalis polychlorus,0,0,0,1,0,0
Orgyia antiqua,0,1,0,0,0,0
Orgyia recens,0,1,0,0,0,0
Orthosia incerta,0,1,0,0,0,0
Orthosia munda,1,0,0,0,0,0
Ourapteryx sambucaria,0,1,0,0,0,0
Perconia strigillaria,0,1,0,0,0,0
Phalera bucephala,1,0,1,0,0,0
Saturnia pavonia,0,1,0,0,0,0
Semiothsia alternaria,0,1,0,0,0,0
Stauropus fagi,0,1,0,0,0,0
Thalera fimbrialis,1,1,0,0,0,0
Theria rupicaprarian,1,1,0,0,0,0
Xestia baja,0,1,0,0,1,0
Xestia triangulum,0,1,0,0,0,0
