,Agropyron smitii,Andropogon hallii,Aristida loniseta,Bouteloua gracilis,Bromus tectorum,Buchloe dactyloides,Calamovilla longifolia,Carex heliophila,Cenchrus pauciflorus,Festuca octoflora,Juncus balticus,Koeleria cristata,Paspalum stramineum,Sporobolus cryptandrus,Stipa comata,Other grasses,Fungus,Moss,Arthropod parts,Hair,Amaranthus retroflexus,Ambrosia psilostachya,Argemone intermedia,Artemisia filifolia,Asclepias pumila,Astragalus spp,Chenopodium album,Cirsium undulatum,Croton texensis,Eriogonum annum,Euphorbia spp,Evolvulus nuttallianus,Ipamoea leptophylla,Kochia scoparia,Lepidium densiflorum,Lesquerella ludoviciana,Liatris punctata,Lithospermum incisum,Lupinus pussilus,Medicago sativa,Melilotus alba,Penstemon aIbidus,Psoralea lanceolata,Psoralea tenuiflora,Solanum rostratum,Sphaeraloea coccinea,Tradescantia occidentalis,Tribulus terrestris,Other forbs
Ageneotettix deorum,9,0.4,0.4,42,0,0,11,3,0,2,0.4,0.4,0,1,24,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amphitornus coloradus,2,0,1,82,0,0,1,0,0,0,0,0,0,0,14,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillacris occipitalis,14,0,0,51,0,0,6,1,0,0,0,0,0,0,27,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritettix simplex,1,0,0.4,36,0,0,45,2,0,6,0.4,0,0,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mermiria maculipennis,5,6,0,39,0,0,34,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melanoplus angustipennis,3,1,0.4,6,0,0,3,1,0.4,0.4,0.4,0.4,0,5,4,2,8,12,7,0.4,0,13,1,3,0,4,1,2,3,0,0,1,2,0,0,1,0.4,2,0.4,2,2,0,2,2,0,1,1,0.4,9
Melanoplus confusus,6,1,0,1,0,0,2,0,0,0.4,0,0,0,0,2,1,0,1,1,0,1,2,0,12,0,1,1,6,0,2,0,1,0,0.4,3,1,0,0,0,0,0,2,0,2,0,1,37,0,13
Melanoplus foedus,3,0.4,0,6,0,0,5,2,0,0.4,0,0,0,3,3,1,5,3,12,1,1,9,2,4,2,2,0.4,6,3,0,1,8,0.4,0,0,0.4,0,0,1,2,0,1,0,6,1,4,2,0,4
Arphia conspersa,29,4,0,15,1,0,4,4,0,16,0,0,0,0,29,0,0.4,0,0.4,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arphia pseudonietana,16,0,0.4,6,0,0,2,8,0,0,0.4,0,0,0.4,67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pardalophora apiculata,25,2,0,1,0,0,7,15,0,29,0,0,0,1,16,0,0.4,0,0,0,2,0.4,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Spharagemon collare,28,4,0,21,0,3,4,3,0,1,1,0,0,8,9,0,3,0,2,0,8,1,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0.4,3,0,0
Trachyrhachys kiowa,1,0,0,91,0,0,0,0,0,0.4,0,0,0,1,8,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xanthippus corallipes,30,1,0,17,0,0,2,5,0,14,0,0,1,0.4,27,0,1,0,0,0,1,1,0,0.4,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
