,Elmerrillia tsiampacca,Cinnamomum culilaban,Piper plagiophyllum,Ficus nodosa,Pipturus argenteus,Castanopsis acuminatissima,Caldcluvia brassii,Aleurites molucanna,Melicope denhamii,Cordia dichotoma
Coenobius_kleinhoviae,0,0,0,1,0,0,0,0,0,0
Coenobius_sp,0,1,0,0,0,0,0,0,0,0
Micromolpus_sp,0,0,0,0,0,1,0,0,0,1
Rhyparida_coriacea,1,1,0,1,1,1,1,1,0,0
Rhyparida_sp_bryanti,0,0,0,0,0,0,1,0,0,0
Rhyparida_sp_1,0,1,0,0,0,0,0,0,0,0
Rhyparida_sp_2,0,0,0,0,0,1,1,0,0,0
Rhyparida_sp_3,0,0,0,0,1,0,0,0,0,0
Rhyparidella_wauensis,0,0,0,1,1,1,0,0,0,0
Rhyparidella_10,0,0,0,0,0,0,1,0,0,0
Rhyparidella_11,0,0,0,1,1,0,0,0,0,0
Rhyparidella_12,0,0,0,0,1,0,0,0,0,0
Rhyparidella_13,0,1,0,0,1,1,0,1,1,0
Rhyparidella_14,1,0,0,1,1,0,1,0,0,1
Rhyparidella_15,1,0,0,1,1,0,1,0,0,1
Rhyparidella_16,1,0,0,0,0,1,0,1,1,0
Rhyparidella_17,0,0,0,1,1,0,1,0,0,0
Rhyparidella_18,0,0,0,1,0,1,0,1,0,1
Rhyparidella_19,0,0,0,1,1,0,0,0,0,0
Rhyparidella_20,1,1,0,0,0,0,1,0,0,0
Stethotes_integra,0,0,0,1,1,0,0,0,0,1
Stethotes_lateralis,0,0,0,1,1,0,0,0,0,1
Stethotes_nigritula,0,0,0,0,0,1,1,0,1,0
Stethotes_suturalis,0,0,0,0,0,0,1,0,0,0
Stethotes_25,0,0,1,0,0,0,0,0,0,0
Stethotes_26,0,0,0,0,1,0,0,0,0,0
Thyrasia_27,0,0,0,0,0,1,0,0,0,0
Thyrasia_28,0,0,0,0,0,0,1,0,0,0
Atysa_sp,0,0,0,1,0,0,0,0,0,1
Aulacophora_sp,0,0,1,1,0,0,0,0,0,0
Cassena_sp,0,0,1,0,1,1,0,0,1,0
Momaea_sp,0,0,0,0,0,0,0,0,1,0
Monolepta_sp,0,1,0,0,0,0,0,0,0,0
Neolepta_34,0,0,0,0,1,0,0,0,0,0
Neolepta_35,0,0,0,0,0,0,1,1,0,0
Neolepta_36,0,0,0,0,0,1,0,0,0,0
Neolepta_37,0,1,0,0,0,1,0,0,1,0
Neolepta_38,0,0,0,0,0,0,1,0,0,0
Neolepta_39,0,0,0,0,0,1,0,0,0,0
Neolepta_40,0,0,0,0,1,0,0,0,0,0
Oides_sp,0,0,0,0,1,0,0,0,0,0
Sastra_sp,0,0,0,1,1,0,0,1,0,1
Aphthonomorpha_sp,0,0,0,0,0,0,1,0,1,0
Crepidodera_sp,0,0,1,0,0,0,0,0,0,0
Manobia_sp,0,0,0,0,1,0,0,0,0,0
Xenidea_sp,0,0,1,0,0,0,0,0,0,1
